SPC,Common_Name,flen_min,flen_max,tlen_min,tlen_max,rwt_min,rwt_max,k_min_error,k_min_warn,k_max_warn,k_max_error,k_tl_mean,intercept_fltl,slope_fltl,int_fltl_old,slope_fltl_old
280,Sticklebacks,19,80,19,80,0.1,4,0.05,0.1,2.3,2.66,,0,1,,
281,Brook Stickleback,23,67,23,67,0.1,3,0.05,0.16,2.3,2.66,1.23,0,1,,
282,Threespine Stickleback,19,80,19,80,0.1,3,0.05,0.1,1.86,2.16,0.91,4.46138,0.93799,,
283,Ninespine Stickleback,21,79,21,79,0.1,4,0.05,0.1,1.66,1.97,0.67,0,1,,
284,Fourspine Stickleback,19,53,19,53,0.1,2,0.05,0.1,2.3,2.66,,0,1,,
290,Trout-Perches,26,174,30,191,0.92,81,0.1,0.31,1.99,2.25,0.93,-0.13924,1.09943,3.62203,1.06461
291,Trout-perch,26,174,30,191,0.92,81,0.1,0.31,1.99,2.25,0.93,-0.13924,1.09943,,
300,Temperate Basses,14,447,15,480,0.38,1400,0.72,0.93,2.58,2.82,,-3.21112,1.08666,,
301,White Perch,14,356,15,379,0.6,1079,0.72,0.93,2.58,2.82,1.58,0.54968,1.06148,-0.08865,1.07014
302,White Bass,25,447,30,480,0.38,1400,0.74,0.89,2.39,2.62,1.36,-1.79647,1.09407,-8.20123,1.11768
303,Morone sp.,14,447,15,480,0.38,1400,0.72,0.93,2.58,2.82,,-3.21112,1.08666,,
304,Striped Bass,100,1200,106,1300,18,32296,0.72,0.93,2.58,2.82,,-3.21112,1.08666,,
310,Sunfishes,9,598,10,618,0.1,4150,0.27,0.58,3.89,4.34,,-1.73085,1.0562,,
311,Rock Bass,10,330,11,345,0.2,611,1,1.27,3.17,3.46,2.08,1.02748,1.02589,0.9686,
312,Green Sunfish,20,138,21,146,0.2,63,0.27,0.68,3.89,4.34,,0.40085,1.052,,
313,Pumpkinseed,9,242,10,255,0.1,333,0.27,0.7,3.81,4.27,2.01,0.51395,1.04714,-0.73534,1.05745
314,Bluegill,20,248,24,267,1,470,0.28,0.68,3.27,3.6,1.91,1.15194,1.06224,1.59789,1.05427
315,Longear Sunfish,38,198,40,209,1,220,0.64,1.02,3.89,4.34,2.17,0.70722,1.04569,,
316,Smallmouth Bass,18,598,20,618,0.1,4150,0.66,0.87,2.49,2.73,1.51,-0.97704,1.05687,-1.43041,1.06224
317,Largemouth Bass,14,585,15,609,0.1,3000,0.3,0.58,2.54,2.85,1.41,0.54466,1.03756,1.29582,1.03559
318,White Crappie,21,332,22,349,1,514,0.71,0.84,1.78,1.91,1.21,1.16313,1.04295,0.51779,1.04302
319,Black Crappie,12,423,12,454,1,1376,0.71,0.9,2.32,2.53,1.47,0.83561,1.04063,0.51779,1.04302
320,Lepomis sp.,9,248,10,267,1,470,0.27,0.68,3.89,4.34,,0.40085,1.052,,
321,Micropterus sp.,14,598,15,618,0.1,4150,0.3,0.58,2.54,2.85,,-0.54699,1.05419,,
322,Pomoxis sp.,12,423,12,454,1,1376,0.71,0.84,2.32,2.53,,0.86298,1.04053,,
323,Warmouth,15,204,16,215,0.1,202,0.27,0.68,3.89,4.34,2.03,0.40085,1.052,,
324,Orangespotted Sunfish,15,100,16,105,0.1,23,0.27,0.68,3.89,4.34,2.03,0.40085,1.052,,
330,Perches,5,830,5,883,1,8100,0.05,0.1,2.09,2.43,,-1.40169,1.06133,,
331,Yellow Perch,5,377,5,398,0.2,931,0.49,0.67,1.99,2.19,1.2,1.35885,1.04306,2.78536,1.03501
332,Sauger,52,584,55,619,2,2253,0.36,0.51,1.68,1.85,,3.64915,1.05276,9.06906,1.03841
333,Blue Pike (Blue Pickerel),52,544,55,576,2,2440,0.59,0.77,1.91,2.09,1.34,3.64915,1.05276,,
334,Walleye,52,830,55,883,1,8100,0.36,0.51,1.68,1.85,0.95,3.64915,1.05276,9.06906,1.03841
335,Eastern Sand Darter,15,84,15,84,0.1,5,0.05,0.1,1.47,1.66,,0,1,,
336,Greenside Darter,28,103,28,103,0.2,11,0.05,0.1,2.09,2.43,0.99,0,1,,
337,Rainbow Darter,35,61,35,61,0.2,3,0.05,0.1,2.09,2.43,0.99,0,1,,
338,Iowa Darter,28,59,28,61,0.2,2,0.05,0.1,2.09,2.43,0.99,0,1,,
339,Fantail Darter,25,82,25,82,0.2,2,0.05,0.1,2.09,2.43,0.99,0,1,,
340,Least Darter,15,42,15,42,0.2,1,0.05,0.1,2.09,2.43,0.99,0,1,,
341,Johnny Darter,15,82,15,82,0.2,5,0.05,0.1,2.09,2.43,0.99,0,1,,
342,Logperch,31,127,32,130,0.3,12,0.08,0.26,1.47,1.66,0.81,0.349,1.01812,,
343,Channel Darter,31,73,32,75,0.3,3,0.08,0.26,1.47,1.66,0.81,0.349,1.01812,,
344,Blackside Darter,31,99,32,101,0.3,8,0.08,0.26,1.47,1.66,0.81,0.349,1.01812,,
345,River Darter,31,76,32,78,0.3,4,0.08,0.26,1.47,1.66,0.81,0.349,1.01812,,
346,Tessellated Darter,15,82,17,82,0.2,5,0.05,0.1,2.09,2.43,0.99,0,1,,
347,Sander sp.,52,830,55,883,1,8100,0.36,0.51,1.91,2.09,,3.64915,1.05276,,
348,Etheostoma sp.,15,103,15,103,0.2,3,0.05,0.1,2.09,2.43,,0,1,,
349,Percina sp.,31,127,32,130,0.3,12,0.08,0.26,1.47,1.66,0.81,0.349,1.01812,,
350,Ruffe,40,185,50,193,15,72,0.68,0.83,2.21,2.41,1.25,8.4919,1.00193,,
360,New World Silversides,30,91,32,98,1,4,0.05,0.1,1.46,1.72,,0.09515,1.05143,,
361,Brook Silverside,30,91,32,98,1,4,0.05,0.1,1.46,1.72,,0.09515,1.05143,,
365,Gobies,5,215,5,215,0.1,170,0.52,0.73,2.02,2.27,,0,1,,
366,Round Goby,5,215,5,215,0.1,170,0.52,0.73,2.02,2.27,1.37,0,1,,
367,Tubenose Goby,26,85,26,85,0.1,8,0.52,0.73,2.02,2.27,,0,1,,
370,Drums,21,635,21,635,1,4604,0.56,0.71,1.69,1.84,,0,1,,
371,Freshwater Drum,21,635,21,635,1,4604,0.56,0.71,1.69,1.84,1.17,0,1,,
380,Sculpins,18,175,18,175,0.5,69,0.05,0.22,2.23,2.54,,0,1,,
381,Mottled Sculpin,18,119,18,119,1,18,0.05,0.33,2.23,2.54,1.28,0,1,,
382,Slimy Sculpin,35,126,35,126,0.5,32,0.05,0.22,2.2,2.53,1.21,0,1,,
383,Spoonhead Sculpin,28,102,28,102,0.3,15,0.05,0.22,2.23,2.54,,0,1,,
384,Deepwater Sculpin,32,175,32,175,1.4,69,0.53,0.68,1.52,1.67,1.1,0,1,,
385,Cottus sp.,18,126,18,126,0.5,32,0.05,0.22,2.23,2.54,,0,1,,
386,Myoxocephalus sp.,32,175,32,175,1.4,69,0.53,0.68,1.52,1.67,,0,1,,
387,Fourhorn Sculpin,30,300,30,300,0.3,360,0.53,0.68,1.52,1.67,,0,1,,
390,Lumpfishes,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
391,Lumpfish,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
395,Righteye Flounders,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
396,European Flounder,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
400,Salmonidae - Hybrids,8,954,9,1020,0.1,12939,0.11,0.29,2.34,2.57,,9.17283,1.07284,,
420,Salmoninae - Hybrids,24,954,29,1020,0.2,12939,0.32,0.50,2.34,2.57,,4.60498,1.07898,,
421,Brown Trout x Altantic Salmon,24,860,35,882,0.2,10659,0.54,0.77,2.34,2.57,,12.17709,1.00915,,
422,Tiger Trout,24,954,29,1020,0.2,12939,0.32,0.50,2.34,2.57,,4.60498,1.07898,,
423,Coho Salmon x Chinook Salmon,28,942,29,994,0.22,12598,0.32,0.50,1.98,2.21,,9.63418,1.03848,,
450,Coregoninae - Hybrids,8,750,9,830,0.1,5422,0.11,0.29,1.89,2.13,,3.09082,1.10048,,
451,Lake Whitefish x Cisco,8,750,9,830,0.1,5422,0.11,0.29,1.89,2.13,,2.4667,1.10579,,
460,Characins,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
461,Red-Bellied Pacu,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
470,Suckermouth Armoured Catfish,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
471,Royal Panaque,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
472,Amazon Sailfin Catfish,1,2,1,2,1,2,0.01,0.02,0.1,0.2,,,,,
