SPC,Common_Name,flen_min,flen_max,tlen_min,tlen_max,rwt_min,rwt_max,k_min_error,k_min_warn,k_max_warn,k_max_error,k_tl_mean,intercept_fltl,slope_fltl,int_fltl_old,slope_fltl_old
093,Cisco (Lake Herring),8,570,9,601,0.1,2450,0.11,0.29,1.89,2.13,0.83,3.34493,1.10055,1.10679,1.10643
094,Bloater,67,358,74,396,3,795,0.32,0.44,1.65,1.82,0.82,2.56078,1.10269,2.68781,1.10028
095,Deepwater Cisco,67,358,74,396,3,795,0.32,0.44,1.65,1.82,,2.56078,1.10269,,
096,Kiyi,147,284,165,316,25,304,0.24,0.35,1.39,1.54,0.67,1.26159,1.1151,4.31043,1.09417
097,Blackfin Cisco,67,358,74,396,3,795,0.32,0.44,1.65,1.82,,2.56078,1.10269,,
098,Nipigon Cisco,8,570,9,601,0.1,2450,0.11,0.29,1.89,2.13,,3.34493,1.10055,,
099,Shortnose Cisco,67,358,74,396,3,795,0.32,0.44,1.65,1.82,,2.56078,1.10269,,
100,Shortjaw Cisco,100,355,117,394,13,515,0.23,0.37,1.72,1.92,0.81,8.99446,1.08044,,
101,Pygmy Whitefish,50,142,54,157,2,34,0.5,0.6,1.49,1.61,0.88,4.58092,1.07271,,
102,Round Whitefish,60,527,65,587,3,2500,0.5,0.6,1.49,1.61,0.88,4.58092,1.07271,5.10117,0.07104
103,Chub,67,358,74,396,3,795,0.24,0.35,1.65,1.82,0.8,2.78537,1.10118,4.31043,1.09417
106,Coregonus sp.,8,750,9,830,0.1,5422,0.11,0.29,1.89,2.13,,2.4667,1.10579,,
107,Prosopium sp.,60,527,65,587,3,2500,0.5,0.6,1.49,1.61,,4.58092,1.07271,,
110,Grayling Subfamily,8,570,9,601,0.1,2450,0.11,0.29,1.89,2.13,,3.34493,1.10055,,
111,Arctic Grayling,8,570,9,601,0.1,2450,0.11,0.29,1.89,2.13,,3.34493,1.10055,,
120,Smelts,5,300,6,326,0.1,202,0.14,0.24,1,1.11,,-0.20883,1.08868,,
121,Rainbow Smelt,5,300,6,326,0.1,202,0.14,0.24,1,1.11,0.51,-0.20883,1.08868,0.79051,1.07918
130,Pikes,48,1330,52,1410,1,23587,0.26,0.38,1.34,1.48,,1.60517,1.06159,,
131,Northern Pike,48,1100,52,1170,1,14500,0.32,0.4,1.14,1.45,0.61,6.82595,1.05147,7.41979,1.05017
132,Muskellunge,97,1330,104,1410,5,23587,0.26,0.38,1.34,1.48,0.73,28.3542,1.04172,35.46711,1.03366
133,Grass Pickerel,48,328,52,352,1,266,0.32,0.4,1,1.08,,6.82595,1.05147,,
134,Esox sp.,48,1330,52,1410,1,23587,0.26,0.38,1.34,1.48,,1.60517,1.06159,,
135,Chain Pickerel,48,990,52,1048,1,7000,0.32,0.4,1,1.08,,6.82595,1.05147,,
140,Mudminnows,31,98,31,98,1,9,0.05,0.1,2.22,2.63,,0,1,,
141,Central Mudminnow,31,98,31,98,1,9,0.05,0.1,2.22,2.63,,0,1,,
150,Mooneyes,140,362,153,395,31,743,0.53,0.74,1.98,2.18,,,,,
151,Goldeye,140,362,153,395,31,743,0.53,0.74,1.98,2.18,,,,,
152,Mooneye,140,362,153,395,31,743,0.53,0.74,1.98,2.18,,,,,
160,Suckers,19,711,20,790,1,6000,0.52,0.66,2.94,3.18,,-3.33743,1.08634,1.20859,1.09824
161,Quillback,50,545,55,615,2,4850,0.92,1.07,2.94,3.18,1.53,1.24409,1.13093,1.20859,1.09824
162,Longnose Sucker,21,626,22,666,1,2400,0.52,0.66,1.81,1.97,1.09,0.55547,1.06532,2.21941,1.05606
163,White Sucker,19,596,20,641,1,3000,0.66,0.78,1.79,1.93,1.13,-1.08336,1.07745,-5.72251,1.08848
164,Lake Chubsucker,38,236,42,257,1,200,0.52,0.66,2.22,2.42,,-0.12097,1.08555,,
165,Northern Hog Sucker,30,386,31,410,1,975,0.48,0.65,2.11,2.33,1.17,-1.81831,1.06814,,
166,Bigmouth Buffalo,50,591,55,670,2,4850,0.92,1.07,2.94,3.18,,1.24409,1.13093,1.20859,1.09824
167,Spotted Sucker,42,448,44,482,1,1265,0.66,0.78,1.79,1.93,,-1.08336,1.07745,,
168,Silver Redhorse,56,670,62,740,3,5700,0.66,0.8,2.18,2.34,1.19,-1.84471,1.12563,,
169,Black Redhorse,31,711,32,790,1,6000,0.56,0.71,2.22,2.42,,-3.35083,1.12444,,
170,Golden Redhorse,126,544,140,624,202,2204,0.7,0.81,2.12,2.3,1.17,5.84315,1.09169,,
171,Shorthead Redhorse,71,581,79,660,47,3493,0.72,0.81,1.94,2.08,1.1,-2.44036,1.1202,,
172,Greater Redhorse,100,658,127,728,159,5350,0.56,0.71,2.22,2.42,1.14,17.9946,1.09115,18.14221,1.07754
173,River Redhorse,31,711,32,790,1,6000,0.56,0.71,2.22,2.42,,-3.35083,1.12444,,
174,Black Buffalo,50,591,55,670,2,4850,0.92,1.07,2.94,3.18,,1.24409,1.13093,,
175,Smallmouth Buffalo,50,591,55,670,2,4850,0.92,1.07,2.94,3.18,,1.24409,1.13093,,
176,Catostomus sp.,19,626,20,666,1,3000,0.52,0.66,1.81,1.97,,-0.98603,1.07626,,
177,Moxostoma sp.,31,711,32,790,1,6000,0.56,0.71,2.22,2.42,,-3.35083,1.12444,18.14221,1.07754
178,Ictiobus sp.,50,591,55,670,2,4850,0.92,1.07,2.94,3.18,,1.24409,1.13093,,
180,Carps And Minnows,3,864,5,959,0.1,16250,0.05,0.1,2.79,3.04,,-0.05716,1.09707,,
181,Goldfish,24,394,28,433,1,1197,0.77,0.96,2.79,3.04,1.52,1.85526,1.09478,28.26795,1.05563
182,Northern Redbelly Dace,32,65,34,69,1,3,0.07,0.25,1.83,2.09,1.03,0.2453,1.06231,,
183,Finescale Dace,31,74,33,79,1,6,0.25,0.42,1.74,1.94,0.93,1.61783,1.03603,,
184,Redside Dace,31,74,33,79,1,6,0.25,0.42,1.74,1.94,,1.61783,1.03603,,
185,Lake Chub,10,233,11,253,0.1,113,0.36,0.5,1.66,1.83,0.9,0.63331,1.0788,2.64647,1.06581
186,Common Carp,24,864,28,959,1,16250,0.77,0.96,2.79,3.04,1.52,1.85526,1.09478,28.26795,1.05563
187,Gravel Chub,20,94,23,106,1,11,0.59,0.68,1.67,1.78,0.93,1.01197,1.11656,,
188,Cutlips Minnow,20,140,22,148,0.1,33,0.05,0.29,2.14,2.44,,1.23262,1.05026,,
189,Brassy Minnow,37,66,41,70,1,4,0.05,0.29,2.14,2.44,,2.59644,1.02768,,
190,Eastern Silvery Minnow,37,66,41,70,1,4,0.05,0.29,2.14,2.44,,2.59644,1.02768,,
191,Silver Chub,99,203,111,228,12,117,0.59,0.68,1.67,1.78,0.93,1.01197,1.11656,,
192,Hornyhead Chub,45,210,49,222,1,109,0.05,0.1,2.34,2.71,,1.35596,1.05097,,
